一	U+4E00
丁	U+4E01
七	U+4E03
万	U+4E07
三	U+4E09
上	U+4E0A
下	U+4E0B
不	U+4E0D
与	U+4E0E
专	U+4E13
且	U+4E14
世	U+4E16
业	U+4E1A
东	U+4E1C
两	U+4E24
严	U+4E25
丧	U+4E27
个	U+4E2A
中	U+4E2D
丰	U+4E30
丸	U+4E38
为	U+4E3A
主	U+4E3B
丽	U+4E3D
久	U+4E45
义	U+4E49
之	U+4E4B
乌	U+4E4C
乐	U+4E50
乘	U+4E58
也	U+4E5F
乡	U+4E61
书	U+4E66
了	U+4E86
事	U+4E8B
二	U+4E8C
于	U+4E8E
云	U+4E91
互	U+4E92
五	U+4E94
亚	U+4E9A
些	U+4E9B
亡	U+4EA1
交	U+4EA4
产	U+4EA7
享	U+4EAB
京	U+4EAC
人	U+4EBA
仅	U+4EC5
仆	U+4EC6
仍	U+4ECD
从	U+4ECE
他	U+4ED6
仙	U+4ED9
代	U+4EE3
令	U+4EE4
以	U+4EE5
仪	U+4EEA
仲	U+4EF2
件	U+4EF6
任	U+4EFB
份	U+4EFD
仿	U+4EFF
伊	U+4F0A
伏	U+4F0F
众	U+4F17
优	U+4F18
会	U+4F1A
传	U+4F20
伤	U+4F24
似	U+4F3C
但	U+4F46
位	U+4F4D
低	U+4F4E
体	U+4F53
何	U+4F55
余	U+4F59
佛	U+4F5B
作	U+4F5C
你	U+4F60
使	U+4F7F
例	U+4F8B
侘	U+4F98
供	U+4F9B
依	U+4F9D
便	U+4FBF
保	U+4FDD
修	U+4FEE
倍	U+500D
值	U+503C
假	U+5047
偏	U+504F
做	U+505A
停	U+505C
偶	U+5076
傀	U+5080
储	U+50A8
傩	U+50A9
催	U+50AC
像	U+50CF
儡	U+5121
元	U+5143
先	U+5148
光	U+5149
克	U+514B
免	U+514D
兔	U+5154
入	U+5165
全	U+5168
八	U+516B
公	U+516C
六	U+516D
兰	U+5170
共	U+5171
关	U+5173
兵	U+5175
其	U+5176
具	U+5177
兼	U+517C
兽	U+517D
内	U+5185
冈	U+5188
册	U+518C
再	U+518D
冒	U+5192
写	U+5199
冠	U+51A0
冢	U+51A2
冥	U+51A5
冰	U+51B0
冲	U+51B2
决	U+51B3
况	U+51B5
冷	U+51B7
冻	U+51BB
净	U+51C0
准	U+51C6
减	U+51CF
凝	U+51DD
凤	U+51E4
凭	U+51ED
出	U+51FA
击	U+51FB
函	U+51FD
刀	U+5200
分	U+5206
切	U+5207
列	U+5217
则	U+5219
创	U+521B
初	U+521D
删	U+5220
判	U+5224
利	U+5229
别	U+522B
到	U+5230
制	U+5236
刷	U+5237
前	U+524D
剑	U+5251
剩	U+5269
力	U+529B
功	U+529F
加	U+52A0
务	U+52A1
动	U+52A8
助	U+52A9
劫	U+52AB
劲	U+52B2
包	U+5305
化	U+5316
匹	U+5339
十	U+5341
千	U+5343
升	U+5347
午	U+5348
半	U+534A
华	U+534E
协	U+534F
单	U+5355
博	U+535A
占	U+5360
卡	U+5361
印	U+5370
即	U+5373
却	U+5374
厄	U+5384
厅	U+5385
历	U+5386
厌	U+538C
原	U+539F
厨	U+53A8
参	U+53C2
及	U+53CA
友	U+53CB
双	U+53CC
反	U+53CD
发	U+53D1
取	U+53D6
受	U+53D7
变	U+53D8
叠	U+53E0
古	U+53E4
只	U+53EA
召	U+53EC
可	U+53EF
台	U+53F0
史	U+53F2
叹	U+53F9
各	U+5404
合	U+5408
同	U+540C
名	U+540D
后	U+540E
向	U+5411
吗	U+5417
否	U+5426
含	U+542B
听	U+542C
启	U+542F
吸	U+5438
吹	U+5439
吼	U+543C
告	U+544A
呢	U+5462
命	U+547D
咆	U+5486
和	U+548C
咒	U+5492
咲	U+54B2
哀	U+54C0
哈	U+54C8
响	U+54CD
哪	U+54EA
哮	U+54EE
哲	U+54F2
唤	U+5524
唯	U+552F
唱	U+5531
啸	U+5578
喜	U+559C
嘶	U+5636
器	U+5668
噩	U+5669
噬	U+566C
四	U+56DB
回	U+56DE
因	U+56E0
园	U+56ED
围	U+56F4
固	U+56FA
国	U+56FD
图	U+56FE
圆	U+5706
土	U+571F
圣	U+5723
在	U+5728
地	U+5730
场	U+573A
均	U+5747
块	U+5757
型	U+578B
埋	U+57CB
城	U+57CE
域	U+57DF
基	U+57FA
塑	U+5851
塔	U+5854
塞	U+585E
境	U+5883
增	U+589E
墨	U+58A8
壁	U+58C1
士	U+58EB
声	U+58F0
处	U+5904
备	U+5907
复	U+590D
夏	U+590F
外	U+5916
多	U+591A
夜	U+591C
够	U+591F
大	U+5927
天	U+5929
太	U+592A
失	U+5931
奇	U+5947
奏	U+594F
契	U+5951
套	U+5957
奥	U+5965
女	U+5973
奶	U+5976
好	U+597D
如	U+5982
妖	U+5996
妙	U+5999
妹	U+59B9
始	U+59CB
委	U+59D4
姥	U+59E5
姬	U+59EC
威	U+5A01
娅	U+5A05
婆	U+5A46
子	U+5B50
孔	U+5B54
字	U+5B57
存	U+5B58
季	U+5B63
孤	U+5B64
学	U+5B66
孪	U+5B6A
它	U+5B83
安	U+5B89
完	U+5B8C
定	U+5B9A
实	U+5B9E
宣	U+5BA3
宫	U+5BAB
害	U+5BB3
家	U+5BB6
容	U+5BB9
宿	U+5BBF
寂	U+5BC2
富	U+5BCC
对	U+5BF9
导	U+5BFC
封	U+5C01
射	U+5C04
将	U+5C06
小	U+5C0F
少	U+5C11
尔	U+5C14
尚	U+5C1A
尝	U+5C1D
就	U+5C31
尼	U+5C3C
尽	U+5C3D
尾	U+5C3E
局	U+5C40
层	U+5C42
居	U+5C45
展	U+5C55
属	U+5C5E
山	U+5C71
岚	U+5C9A
岸	U+5CB8
左	U+5DE6
巨	U+5DE8
巫	U+5DEB
差	U+5DEE
己	U+5DF1
已	U+5DF2
布	U+5E03
师	U+5E08
帕	U+5E15
带	U+5E26
常	U+5E38
幕	U+5E55
幡	U+5E61
干	U+5E72
平	U+5E73
年	U+5E74
并	U+5E76
幻	U+5E7B
幼	U+5E7C
幽	U+5E7D
庇	U+5E87
序	U+5E8F
库	U+5E93
应	U+5E94
座	U+5EA7
庭	U+5EAD
延	U+5EF6
建	U+5EFA
开	U+5F00
异	U+5F02
弄	U+5F04
式	U+5F0F
弓	U+5F13
引	U+5F15
弗	U+5F17
张	U+5F20
弥	U+5F25
弧	U+5F27
弹	U+5F39
强	U+5F3A
归	U+5F52
当	U+5F53
录	U+5F55
形	U+5F62
影	U+5F71
彼	U+5F7C
待	U+5F85
律	U+5F8B
得	U+5F97
御	U+5FA1
循	U+5FAA
德	U+5FB7
心	U+5FC3
必	U+5FC5
忆	U+5FC6
忌	U+5FCC
志	U+5FD7
忠	U+5FE0
忧	U+5FE7
快	U+5FEB
念	U+5FF5
态	U+6001
怒	U+6012
怖	U+6016
性	U+6027
怨	U+6028
怪	U+602A
总	U+603B
恋	U+604B
恐	U+6050
恒	U+6052
恢	U+6062
恨	U+6068
息	U+606F
恶	U+6076
悄	U+6084
悉	U+6089
情	U+60C5
惊	U+60CA
惑	U+60D1
惜	U+60DC
惧	U+60E7
惰	U+60F0
想	U+60F3
愁	U+6101
意	U+610F
感	U+611F
愤	U+6124
慵	U+6175
懒	U+61D2
戏	U+620F
成	U+6210
我	U+6211
或	U+6216
战	U+6218
截	U+622A
户	U+6237
房	U+623F
所	U+6240
扇	U+6247
手	U+624B
才	U+624D
扑	U+6251
打	U+6253
托	U+6258
扣	U+6263
执	U+6267
扩	U+6269
扬	U+626C
找	U+627E
承	U+627F
技	U+6280
把	U+628A
抑	U+6291
投	U+6295
抗	U+6297
折	U+6298
抛	U+629B
护	U+62A4
报	U+62A5
抵	U+62B5
担	U+62C5
拉	U+62C9
拟	U+62DF
拥	U+62E5
择	U+62E9
括	U+62EC
拷	U+62F7
拼	U+62FC
持	U+6301
挂	U+6302
指	U+6307
按	U+6309
挡	U+6321
挥	U+6325
振	U+632F
捌	U+634C
损	U+635F
换	U+6362
据	U+636E
掉	U+6389
排	U+6392
探	U+63A2
接	U+63A5
控	U+63A7
推	U+63A8
掷	U+63B7
描	U+63CF
提	U+63D0
揭	U+63ED
携	U+643A
摇	U+6447
撤	U+64A4
播	U+64AD
操	U+64CD
擎	U+64CE
擦	U+64E6
支	U+652F
收	U+6536
改	U+6539
攻	U+653B
放	U+653E
政	U+653F
效	U+6548
敌	U+654C
救	U+6551
散	U+6563
数	U+6570
整	U+6574
文	U+6587
斐	U+6590
斗	U+6597
斩	U+65A9
断	U+65AD
斯	U+65AF
新	U+65B0
方	U+65B9
施	U+65BD
旋	U+65CB
无	U+65E0
日	U+65E5
旧	U+65E7
早	U+65E9
时	U+65F6
昂	U+6602
明	U+660E
昙	U+6619
星	U+661F
春	U+6625
是	U+662F
